,num_samples,pi_value,elapsed_time,num_processes
0,10000,3.152,0.016968653071671724,1
1,100000,3.1496,0.13524964509997517,1
2,1000000,3.13968,1.2635544379008934,1
3,10000000,3.1412756,12.649483351968229,1
4,100000000,3.14158388,125.13396275206469,1
5,10000,3.1312,0.009919659001752734,2
6,100000,3.1484,0.0671361890854314,2
7,1000000,3.141656,0.642862580018118,2
8,10000000,3.1416456,6.3612219779752195,2
9,100000000,3.14142984,67.03993029601406,2
10,10000,3.176,0.008364898967556655,4
11,100000,3.1472,0.04142387397587299,4
12,1000000,3.140016,0.4096941369352862,4
13,10000000,3.1400976,3.8046907170210034,4
14,100000000,3.14171824,40.743903785943985,4
15,10000,3.152,0.011060507968068123,8
16,100000,3.14656,0.046975511009804904,8
17,1000000,3.147776,0.35709772096015513,8
18,10000000,3.1406528,3.428954478004016,8
19,100000000,3.14136832,33.919751647044905,8
